Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Halil Dervişoğlu,trTUR,"DL,CC",25-143,24,15,"1,307",14.5,3,3,6,3,0,0,2,0,0.21,0.21,0.41,0.21,0.41,Partidos,23.0,12.0,52.2,1.48,0.77,0.13,0.25,,,,,,,,,,,,,,,,,,56,48.5,75,2,9,22,3,1.28,21,21,0,0.00,+0.24,0.0,23.0,25.0,5.0,3.0,7.0,22.0,,,/es/jugadores/9d8cf204/Halil-Dervisoglu
Mustafa Eskihellaç,trTUR,"DF,CC",27-360,16,14,"1,260",14.0,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Partidos,17.0,6.0,35.3,1.21,0.43,0.0,0.0,,,,,,,,,,,,,,,,,,79,43.8,86,9,2,26,0,1.56,17,13,+4,+0.29,+0.73,0.0,16.0,22.0,4.0,16.0,16.0,15.0,,,/es/jugadores/a9dddaed/Mustafa-Eskihellac
Ertuğrul Ersoy,trTUR,DF,28-076,17,12,899,10.0,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Partidos,4.0,3.0,75.0,0.4,0.3,0.25,0.33,,,,,,,,,,,,,,,,,,53,31.2,71,5,5,9,14,1.76,16,16,0,0.00,+0.18,0.0,13.0,6.0,0.0,0.0,12.0,18.0,,,/es/jugadores/dd97ba77/Ertugrul-Ersoy
Salem M'bakata,cdCOD,DF,27-011,17,10,989,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,6.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,60,37.5,80,7,7,29,9,1.33,12,13,-1,-0.08,+0.07,0.0,3.0,8.0,2.0,15.0,10.0,15.0,,,/es/jugadores/0c75df2a/Salem-Mbakata
Ogün Özçiçek,,CC,26-096,21,9,902,10.0,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Partidos,11.0,1.0,9.1,1.1,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,43,31.3,71,2,12,22,9,1.29,15,16,-1,-0.10,+0.04,0.0,23.0,20.0,0.0,9.0,5.0,14.0,,,/es/jugadores/6057d4ff/Ogun-Ozcicek
Anel Husic,chSUI,DF,24-060,9,9,720,8.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,7.0,2.0,28.6,0.87,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,80,25.0,80,6,0,,1,1.78,13,9,+4,+0.50,+0.83,0.0,15.0,2.0,1.0,5.0,9.0,7.0,,,/es/jugadores/93241bd1/Anel-Husic
Enric Saborit,esESP,DF,33-003,10,8,796,8.8,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Partidos,9.0,2.0,22.2,1.02,0.23,0.11,0.5,,,,,,,,,,,,,,,,,,80,27.6,90,8,2,38,1,0.90,13,16,-3,-0.34,-0.30,0.0,6.0,11.0,1.0,2.0,12.0,5.0,,,/es/jugadores/eb5bc3eb/Enric-Saborit
Cyril Mandouki,mqMTQ,"CC,DF",33-252,16,8,704,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,3.0,0.0,0.0,0.38,0.0,0.0,,,,,,,,,,,,,,,,,,,44,24.4,76,4,8,12,4,1.25,7,13,-6,-0.77,-0.85,0.0,14.0,4.0,0.0,0.0,9.0,19.0,,,/es/jugadores/30834b83/Cyril-Mandouki
Quentin Daubin,frFRA,CC,29-301,18,7,700,7.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Partidos,3.0,0.0,0.0,0.34,0.0,0.0,,,,,,,,,,,,,,,,,,,42,27.4,69,4,11,22,5,1.53,6,13,-7,-0.80,-0.93,1.0,16.0,8.0,0.0,1.0,13.0,17.0,,,/es/jugadores/d51c34f0/Quentin-Daubin
Kenan Kodro,baBIH,DL,31-254,26,6,752,8.4,2,0,2,2,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Partidos,14.0,9.0,64.3,1.66,1.07,0.14,0.22,,,,,,,,,,,,,,,,,,28,26.3,75,2,21,15,5,1.15,10,14,-4,-0.47,-0.47,0.0,10.0,7.0,7.0,2.0,2.0,0.0,,,/es/jugadores/e82d2807/Kenan-Kodro
,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,,,,,,,,,,
Emmanuel Boateng,ghGHA,DL,28-342,12,6,584,6.5,3,1,4,3,0,0,3,0,0.46,0.15,0.62,0.46,0.62,Partidos,20.0,6.0,30.0,2.94,0.88,0.15,0.5,,,,,,,,,,,,,,,,,,47,21.3,71,2,7,27,0,1.23,11,10,+1,+0.15,+0.35,0.0,9.0,11.0,6.0,2.0,1.0,1.0,,,/es/jugadores/2e23c66b/Emmanuel-Boateng
Emre Taşdemir,trTUR,DF,29-265,14,5,592,6.6,1,1,2,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,Partidos,7.0,3.0,42.9,1.03,0.44,0.14,0.33,,,,,,,,,,,,,,,,,,41,21.2,63,3,9,26,10,0.73,8,13,-5,-0.74,-0.78,0.0,9.0,10.0,4.0,30.0,6.0,6.0,,,/es/jugadores/895a2119/Emre-Tasdemir
Ömürcan Artan,,DF,25-277,8,5,513,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,1.0,100.0,0.18,0.18,0.0,0.0,,,,,,,,,,,,,,,,,,64,17.8,80,3,3,37,19,1.13,5,8,-3,-0.53,-0.49,0.0,5.0,3.0,0.0,12.0,9.0,10.0,,,/es/jugadores/52de919f/Omurcan-Artan
Semih Güler,,DF,30-151,9,5,510,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Partidos,3.0,1.0,33.3,0.45,0.15,0.33,1.0,,,,,,,,,,,,,,,,,,59,20.6,89,5,4,15,1,1.60,10,8,+2,+0.30,+0.54,0.0,4.0,1.0,0.0,2.0,5.0,4.0,,,/es/jugadores/0feeeef0/Semih-Guler
Furkan Soyalp,trTUR,CC,29-322,14,2,331,3.7,2,1,3,2,0,0,1,0,0.54,0.27,0.82,0.54,0.82,Partidos,7.0,3.0,42.9,1.87,0.8,0.29,0.67,,,,,,,,,,,,,,,,,,22,11.7,73,0,13,15,17,1.13,5,5,0,0.00,+0.14,0.0,12.0,9.0,0.0,15.0,6.0,5.0,,,/es/jugadores/d740fd7c/Furkan-Soyalp
Godfrey Bitok,ngNGA,DF,24-251,2,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,58,4.0,83,0,1,32,0,1.50,1,1,0,0.00,+0.13,0.0,1.0,0.0,0.0,5.0,1.0,0.0,,,/es/jugadores/f9897f64/Godfrey-Bitok
Mirza Cihan,,CC,24-186,8,1,100,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,3.0,0.0,0.0,2.7,0.0,0.0,,,,,,,,,,,,,,,,,,,13,3.5,45,0,7,8,11,1.25,4,5,-1,-0.90,-0.80,0.0,1.0,0.0,0.0,2.0,1.0,2.0,,,/es/jugadores/6a0f971b/Mirza-Cihan
İlker Karakaş,trTUR,DL,26-109,4,0,35,0.4,0,1,1,0,0,0,0,0,0.00,2.57,2.57,0.00,2.57,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,9,1.2,,0,4,9,5,0.75,3,1,+2,+5.14,+5.33,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,/es/jugadores/ca6abff9/Ilker-Karakas
Muhammed Gümüskaya,trTUR,CC,24-119,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,2.0,0.0,0.0,90.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,0.1,,0,1,2,3,3.00,0,0,0,0.00,+0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/f804cfd9/Muhammed-Gumuskaya
Halil Bağcı,,PO,22-026,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/ea60af20/Halil-Bagci
Eren Cakir,deGER,CC,21-071,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,/es/jugadores/6172026c/Eren-Cakir
Mustafa Dogru,,CC,20-060,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/6c82281a/Mustafa-Dogru
Izzet Erdal,trTUR,DF,19-338,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/3738928a/Izzet-Erdal
Eren Erdoğan,,CC,23-343,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/abc57fe0/Eren-Erdogan
Ali Mevran Ablak,,CC,21-277,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/4fef1cf4/Ali-Mevran-Ablak
