Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Andraž Šporar,siSVN,DL,31-062,7,4,424,4.7,2,0,2,1,1,1,0,0,0.42,0.00,0.42,0.21,0.21,Partidos,14.0,7.0,50.0,2.45,1.23,0.07,0.14,,,,,,,,,,,,,,,,,,64,17.8,89,4,3,24,1,0.50,9,14,-5,-0.88,-0.65,0.0,6.0,15.0,4.0,5.0,1.0,0.0,,,/es/jugadores/878f0921/Andraz-Sporar
Rony Lopes,ptPOR,CC,29-123,15,2,336,3.7,0,1,1,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Partidos,12.0,4.0,33.3,3.21,1.07,0.0,0.0,,,,,,,,,,,,,,,,,,22,11.7,73,1,13,15,4,0.80,3,5,-2,-0.54,-0.22,0.0,4.0,4.0,0.0,24.0,0.0,6.0,,,/es/jugadores/7c2965bb/Rony-Lopes
Serdar Dursun,trTUR,DL,33-193,12,2,334,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,9.0,1.0,11.1,2.43,0.27,0.0,0.0,,,,,,,,,,,,,,,,,,28,11.6,82,0,10,17,7,0.83,1,6,-5,-1.35,-1.14,0.0,2.0,7.0,1.0,0.0,0.0,1.0,,,/es/jugadores/a80d2da5/Serdar-Dursun
Furkan Bayır,trTUR,DF,25-080,4,2,222,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,56,7.7,85,1,2,26,0,0.50,2,7,-5,-2.03,-1.82,0.0,1.0,3.0,0.0,0.0,2.0,0.0,,,/es/jugadores/c94d9e06/Furkan-Bayir
,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,,,,,,,,,,
Buluthan Bulut,,CC,22-283,7,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,0.87,0.0,0.0,,,,,,,,,,,,,,,,,,,15,3.6,54,0,6,8,10,1.57,1,1,0,0.00,+0.36,0.0,0.0,2.0,0.0,2.0,0.0,6.0,,,/es/jugadores/99b83608/Buluthan-Bulut
Yusuf Karagöz,trTUR,PO,25-207,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,3.1,90,1,0,,30,0.00,0,2,-2,-2.00,-1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/aadc0050/Yusuf-Karagoz
Juan,brBRA,CC,24-051,5,0,87,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,5.0,2.0,40.0,5.17,2.07,0.0,0.0,,,,,,,,,,,,,,,,,,17,3.0,,0,5,17,13,1.40,0,0,0,0.00,+0.35,0.0,2.0,1.0,0.0,3.0,0.0,3.0,,,/es/jugadores/025fe712/Juan
Arda Usluoğlu,trTUR,DL,18-200,4,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,8.18,0.0,0.0,,,,,,,,,,,,,,,,,,,3,0.4,,0,4,3,18,0.75,0,0,0,0.00,+0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,/es/jugadores/1fe13b98/Arda-Usluoglu
Bera Çeken,trTUR,CC,19-255,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,2,0.1,,0,1,2,14,0.00,0,0,0,0.00,+0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/0b1f3bd3/Bera-Ceken
Ümit Akdag,roROU,DF,21-206,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/d746900e/Umit-Akdag
Eren Altıntaş,,CC,21-031,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,/es/jugadores/3ebb641d/Eren-Altintas
Muhammet Apaydin,,CC,19-119,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/216b434d/Muhammet-Apaydin
Nejdet Bilin,,DF,18-051,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/7c37b076/Nejdet-Bilin
Taha Celik,,CC,,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/74264052/Taha-Celik
Mert Furkan Bayram,trTUR,PO,20-118,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,29,,,,,,,,,,,,,,,,/es/jugadores/2f6f9cf6/Mert-Furkan-Bayram
Yusuf Karademir,,CC,17-116,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/ec439fc6/Yusuf-Karademir
Omer Karslioglu,,DF,17-119,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/edacbaa7/Omer-Karslioglu
Arnaud Lusamba,cdCOD,CC,28-116,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/54131505/Arnaud-Lusamba
Hüseyin Şen,,DL,16-107,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/f5f6551b/Huseyin-Sen
Umut Toy,,DF,20-357,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,11,,,,,,,,,,,,,,,,/es/jugadores/bb69a2a9/Umut-Toy
Veysel Ünal,trTUR,DL,23-301,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/e96fc534/Veysel-Unal
Batuhan Yavuz,trTUR,DF,19-361,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,10,,,,,,,,,,,,,,,,/es/jugadores/ae4c1bbe/Batuhan-Yavuz
İsmail Zehir,trTUR,CC,21-305,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/30d6ae27/Ismail-Zehir
