Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Erkan Değişmez,trTUR,CC,38-245,5,4,222,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,44,7.7,54,0,1,6,10,2.40,3,4,-1,-0.41,0.00,0,8,5,0,0,3,4,,,/es/jugadores/3248cf56/Erkan-Degismez
Celal Dumanlı,trTUR,DL,31-002,19,1,236,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,5,0,0.0,1.91,0.00,0.00,,,,,,,,,,,,,,,,,,,12,8.2,61,0,18,10,4,0.84,2,4,-2,-0.76,-0.39,0,9,10,4,2,1,5,,,/es/jugadores/f333ac24/Celal-Dumanli
Rüzgar Adıyaman,,PO,18-158,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,4.0,4.0,9.0,6.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,90,3.1,90,1,0,,4,0.00,2,4,-2,-2.00,-1.65,0,0,0,0,0,0,0,,,/es/jugadores/b9f70df9/Ruzgar-Adiyaman
Burak Coban,deGER,CC,30-174,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,1.53,0.00,0.00,,,,,,,,,,,,,,,,,,,59,2.0,59,0,0,,1,0.00,0,0,0,0.00,+0.41,0,0,1,0,2,0,0,,,/es/jugadores/81f979ea/Burak-Coban
Kenan Özer,trTUR,"DL,CC",37-257,7,0,103,1.1,1,0,1,0,1,1,1,0,0.87,0.00,0.87,0.00,0.00,Partidos,4,1,25.0,3.50,0.87,0.00,0.00,,,,,,,,,,,,,,,,,,15,3.6,,0,7,15,6,1.29,1,3,-2,-1.75,-1.39,0,2,2,0,7,0,0,,,/es/jugadores/ef870342/Kenan-Ozer
Haqi Osman,ghGHA,DL,23-019,9,0,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,0.96,0.00,0.00,,,,,,,,,,,,,,,,,,,10,3.3,,0,9,10,7,0.89,0,4,-4,-3.83,-3.54,0,0,1,3,0,2,2,,,/es/jugadores/db0ee2aa/Haqi-Osman
Gabriel Obekpa,ngNGA,CC,20-341,3,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,3,1,33.3,3.00,1.00,0.00,0.00,,,,,,,,,,,,,,,,,,30,3.1,,0,3,30,7,1.00,1,2,-1,-1.00,-0.61,0,1,0,0,0,0,1,,,/es/jugadores/94e12da4/Gabriel-Obekpa
Enes Öğrüce,,DL,17-362,6,0,40,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,2,1,50.0,4.50,2.25,0.00,0.00,,,,,,,,,,,,,,,,,,7,1.4,,0,6,7,10,2.00,0,1,-1,-2.25,-1.87,0,5,1,0,0,1,2,,,/es/jugadores/38b504cc/Enes-Ogruce
Yusuf Sertkaya,trTUR,CC,19-253,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,4,0.1,,0,1,4,8,0.00,0,1,-1,-22.50,-22.12,0,0,0,0,0,0,0,,,/es/jugadores/d021bc2e/Yusuf-Sertkaya
Süleyman Özdamar,trTUR,DF,32-064,0,0,,0.0,0,0,0,0,0,0,1,0,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,,6,1.00,0,0,0,,,,,,,,,,,,/es/jugadores/f7afcb97/Suleyman-Ozdamar
Tunahan Akpınar,,CC,23-281,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,/es/jugadores/eb3bd544/Tunahan-Akpinar
Ogulcan Basol,,DF,20-070,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/50b7fe9b/Ogulcan-Basol
Bahri Can Tosun,,PO,22-199,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/bef2d3de/Bahri-Can-Tosun
Baran Çetin,,DF,20-025,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/10fca68c/Baran-Cetin
Baran Demir,,PO,19-149,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/88f424a3/Baran-Demir
Mustafa Erdilman,,CC,21-119,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/b00f3a68/Mustafa-Erdilman
Kerem Ersunar,,PO,21-325,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/4d4b8ac9/Kerem-Ersunar
Bilal Güven,,DL,20-192,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,/es/jugadores/6ebc9d9f/Bilal-Guven
Omar Imeri,alALB,DL,25-138,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/f144980e/Omar-Imeri
Murat Sipahioglu,,DF,23-087,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/4af71c3a/Murat-Sipahioglu
