Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Gls.,Gls.,Gls.,Ass,G+A,G+A,G+A,G+A,G-TP,G-TP,G-TP,G-TP,TP,TPint,TA,TR,xG,xG,xG,xG,npxG,npxG,npxG,npxG,xAG,xAG,xAG,xAG,npxG+xAG,npxG+xAG,npxG+xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Gls.,Gls.,Gls.,Ast,G+A,G+A,G+A,G+A,G-TP,G-TP,G-TP,G-TP,G+A-TP,xG,xG,xG,xG,xAG,xAG,xAG,xAG,xG+xAG,npxG,npxG,npxG,npxG,npxG+xAG,npxG+xAG,npxG+xAG,npxG+xAG,Partidos,Links
Pau Victor Delgado,es ESP,DL,23-024,13,1,194,2.2,2,0.93,2,0.93,1,3,1.39,3,1.39,2,0.93,2,0.93,0,0,2,0,2.0,0.90,2.0,0.90,2.0,0.90,2.0,0.90,0.4,0.20,0.4,0.20,2.4,1.10,2.4,1.10,2,6,21,2,0.93,2,0.93,0.46,3,1.39,3,1.39,2,0.93,2,0.93,1.39,2.0,0.90,2.0,0.90,0.4,0.20,0.4,0.20,1.10,2.0,0.90,2.0,0.90,2.4,1.10,2.4,1.10,Partidos,https://fbref.com/es/jugadores/e6e7c819/Pau-Victor-Delgado
Ansu Fati,es ESP,DL,22-050,4,1,127,1.4,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.6,0.42,0.6,0.42,0.6,0.42,0.6,0.42,0.1,0.04,0.1,0.04,0.7,0.46,0.7,0.46,4,3,16,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.6,0.42,0.6,0.42,0.1,0.04,0.1,0.04,0.46,0.6,0.42,0.6,0.42,0.7,0.46,0.7,0.46,Partidos,https://fbref.com/es/jugadores/0ba976e4/Ansu-Fati
Andreas Christensen,dk DEN,DF,28-254,1,0,27,0.3,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0,0,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,Partidos,https://fbref.com/es/jugadores/1cb49278/Andreas-Christensen
Ronald Araújo,uy URU,DF,25-288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/2bef2bca/Ronald-Araujo
Ander Astralaga,es ESP,PO,20-292,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/031e0283/Ander-Astralaga
Álvaro Cortés,es ESP,DF,19-217,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/2c6f1580/Alvaro-Cortes
Andres Cuenca,es ESP,DF,17-192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/2eefd1b3/Andres-Cuenca
Noah Darvich,de GER,CC,18-086,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/64f76c60/Noah-Darvich
Guillermo Fernandez,es ESP,CC,16-185,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/4390bf25/Guillermo-Fernandez
Toni Fernández,es ESP,CC,16-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/285ff324/Toni-Fernandez
Diego Kochen,us USA,PO,18-276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/497144d6/Diego-Kochen
Wojciech Szczęsny,pl POL,PO,34-246,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/01b8a2b2/Wojciech-Szczesny
Álex Valle,es ESP,DF,20-239,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/97022551/Alex-Valle
Áron Yaakobishvili,hu HUN,PO,18-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/0b8c9180/Aron-Yaakobishvili
