Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Chris Richards,us USA,DF,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jamal Musiala,de GER,"FW,MF",16,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christian Früchtl,de GER,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lars Lukas Mai,de GER,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ryan Johansson,ie IRL,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jeong Woo-yeong,kr KOR,"FW,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Paul Will,de GER,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jann-Fiete Arp,de GER,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ron-Thorben Hoffmann,de GER,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bright Arrey-Mbi,de GER,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Malik Tillman,us USA,"FW,MF",17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
