Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Przemysław Frankowski,plPOL,"DF,CC",30-018,8,8,620,6.9,0,1,1,0,0,0,1,1,0.00,0.15,0.15,0.00,0.15,Partidos,7,2,28.6,1.02,0.29,0.00,0.00,,,,,,,,,,,,,,,,,,78,21.5,78,6,0,,1,2.13,14,6,+8,+1.16,-0.55,0,6,2,1,32,6,9,,,/es/jugadores/00a8d210/Przemyslaw-Frankowski
Mauro Icardi,arARG,DL,32-070,7,7,523,5.8,4,1,5,3,1,1,0,0,0.69,0.17,0.86,0.52,0.69,Partidos,13,5,38.5,2.24,0.86,0.23,0.60,,,,,,,,,,,,,,,,,,75,18.2,75,2,0,,1,2.71,14,3,+11,+1.89,+0.37,0,2,7,3,2,0,0,,,/es/jugadores/43b78598/Mauro-Icardi
Mario Lemina,gaGAB,CC,31-241,9,6,561,6.2,1,2,3,1,0,0,2,0,0.16,0.32,0.48,0.16,0.48,Partidos,8,4,50.0,1.14,0.57,0.13,0.25,,,,,,,,,,,,,,,,,,63,21.9,78,3,3,27,1,2.30,17,6,+11,+1.57,-0.03,0,20,3,1,7,11,9,,,/es/jugadores/2b471f99/Mario-Lemina
Elias Jelert,dkDEN,"DF,CC",21-322,19,5,549,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,3,1,33.3,0.49,0.16,0.00,0.00,,,,,,,,,,,,,,,,,,29,19.1,78,3,14,11,6,2.68,15,11,+4,+0.66,-1.16,0,4,10,0,7,4,7,,,/es/jugadores/213f0daf/Elias-Jelert
Berkan Kutlu,trTUR,"DF,CC",27-095,21,4,636,7.1,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Partidos,11,0,0.0,1.54,0.00,0.00,,,,,,,,,,,,,,,,,,,29,22.3,86,3,18,17,10,2.73,18,12,+6,+0.84,-0.97,0,4,7,0,20,15,9,,,/es/jugadores/794364d7/Berkan-Kutlu
Kerem Demirbay,deGER,CC,31-301,19,4,473,5.3,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Partidos,12,1,8.3,2.28,0.19,0.00,0.00,,,,,,,,,,,,,,,,,,25,16.4,78,2,15,11,7,2.68,16,9,+7,+1.33,-0.31,0,11,5,2,16,9,14,,,/es/jugadores/54b4dc4e/Kerem-Demirbay
Álvaro Morata,esESP,"CC,DL",32-189,8,4,434,4.8,4,1,5,2,2,2,1,0,0.83,0.21,1.04,0.41,0.62,Partidos,17,9,52.9,2.92,1.55,0.12,0.22,,,,,,,,,,,,,,,,,,58,18.2,88,4,4,22,0,2.67,16,5,+11,+1.89,+0.36,0,14,6,3,6,1,7,,,/es/jugadores/129af0db/Alvaro-Morata
,,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,
Metehan Baltacı,trTUR,DF,22-178,8,4,247,2.7,0,1,1,0,0,0,0,1,0.00,0.36,0.36,0.00,0.36,Partidos,2,2,100.0,0.73,0.73,0.00,0.00,,,,,,,,,,,,,,,,,,31,8.6,60,2,4,2,20,2.75,8,4,+4,+1.46,-0.15,0,5,0,0,1,4,1,,,/es/jugadores/601a0704/Metehan-Baltaci
Ahmed Kutucu,trTUR,"DL,CC",25-060,11,3,329,3.7,1,0,1,1,0,0,3,0,0.27,0.00,0.27,0.27,0.27,Partidos,7,4,57.1,1.91,1.09,0.14,0.25,,,,,,,,,,,,,,,,,,30,11.4,79,1,8,11,1,2.36,7,3,+4,+1.09,-0.56,0,10,5,1,4,4,5,,,/es/jugadores/beda9675/Ahmed-Kutucu
Victor Nelsson,dkDEN,DF,26-198,11,2,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,1,100.0,0.31,0.31,0.00,0.00,,,,,,,,,,,,,,,,,,26,10.0,90,2,9,12,9,2.82,8,8,0,0.00,-1.77,0,3,6,0,0,6,1,,,/es/jugadores/e53b5534/Victor-Nelsson
Kerem Aktürkoğlu,trTUR,CC,26-191,3,2,173,1.9,2,2,4,2,0,0,0,0,1.04,1.04,2.08,1.04,2.08,Partidos,5,3,60.0,2.60,1.56,0.40,0.67,,,,,,,,,,,,,,,,,,58,6.0,76,0,1,21,0,3.00,9,1,+8,+4.16,+2.73,0,0,3,1,6,0,0,,,/es/jugadores/f28659fb/Kerem-Akturkoglu
Leo Dubois,frFRA,DF,30-228,2,2,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,79,5.5,79,0,0,,0,3.00,2,2,0,0.00,-1.69,0,2,1,0,4,1,3,,,/es/jugadores/ff0ab48c/Leo-Dubois
Carlos Cuesta,coCOL,DF,26-052,3,2,146,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,49,5.1,68,1,1,11,6,2.33,1,1,0,0.00,-1.68,0,2,1,0,1,0,1,,,/es/jugadores/574fff8c/Carlos-Cuesta
Michy Batshuayi,beBEL,DL,31-210,18,1,405,4.5,5,2,7,4,1,2,1,0,1.11,0.44,1.56,0.89,1.33,Partidos,18,8,44.4,4.00,1.78,0.22,0.50,,,,,,,,,,,,,,,,,,23,14.1,90,1,17,19,2,2.67,15,7,+8,+1.78,+0.21,0,7,1,6,3,2,2,,,/es/jugadores/2973d8ff/Michy-Batshuayi
Hakim Ziyech,maMAR,CC,32-042,5,1,150,1.7,0,1,1,0,0,0,1,0,0.00,0.60,0.60,0.00,0.60,Partidos,11,3,27.3,6.60,1.80,0.00,0.00,,,,,,,,,,,,,,,,,,30,5.2,86,0,4,16,4,2.60,3,2,+1,+0.60,-1.05,0,2,2,1,20,0,3,,,/es/jugadores/6622454d/Hakim-Ziyech
Günay Güvenç,,PO,33-309,1,1,90,1.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,90,3.1,90,1,0,,29,3.00,1,1,0,0.00,-1.65,0,0,0,0,0,0,0,,,/es/jugadores/04c20fef/Gunay-Guvenc
Derrick Köhn,deGER,DF,26-085,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,2,1,50.0,2.09,1.05,0.00,0.00,,,,,,,,,,,,,,,,,,86,3.0,86,0,0,,0,3.00,1,1,0,0.00,-1.64,0,1,1,0,3,1,2,,,/es/jugadores/b735b590/Derrick-Kohn
Yusuf Demir,atAUT,CC,21-332,6,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,6,2,33.3,12.86,4.29,0.00,0.00,,,,,,,,,,,,,,,,,,7,1.5,,0,6,7,16,2.33,2,1,+1,+2.14,+0.56,0,2,1,0,2,0,0,,,/es/jugadores/fa265f6d/Yusuf-Demir
Efe Akman,trTUR,CC,19-041,3,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,1,100.0,4.74,4.74,0.00,0.00,,,,,,,,,,,,,,,,,,6,0.7,,0,3,6,16,3.00,0,1,-1,-4.74,-6.37,0,1,0,0,0,2,1,,,/es/jugadores/6b665cf6/Efe-Akman
Berat Lus,,DL,18-010,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,3,0.1,,0,1,3,1,3.00,0,0,0,0.00,-1.60,0,0,0,0,1,0,0,,,/es/jugadores/d837c59c/Berat-Lus
Eyüp Aydın,,CC,20-271,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,1,0.0,,0,1,1,17,3.00,0,0,0,0.00,-1.59,0,0,0,0,0,0,0,,,/es/jugadores/04660c49/Eyup-Aydin
Gökdeniz Gürpüz,trTUR,CC,19-064,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/8329699c/Gokdeniz-Gurpuz
Ali Turap Bülbül,trTUR,DF,20-095,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/cbbfbf38/Ali-Turap-Bulbul
Recep Yalin Dilek,trTUR,DL,18-278,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/6db5206d/Recep-Yalin-Dilek
Ali Yeşilyurt,trTUR,DF,19-274,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/29abb53a/Ali-Yesilyurt
Jankat Yilmaz,trTUR,PO,20-257,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,/es/jugadores/54c8d831/Jankat-Yilmaz
