Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Yusuf Sari,trTUR,CC,26-161,13,10,934,10.4,0,1,1,0,0,2,1,0,0.00,0.10,0.10,0.00,0.10,Partidos,30,14,46.7,2.89,1.35,0.00,0.00,,,,,,,,,,,,,,,,,,72,32.4,83,3,3,36,0,0.38,5,21,-16,-1.54,+0.08,0,4,10,0,60,4,6,,,/es/jugadores/a2da58b1/Yusuf-Sari
Burhan Ersoy,,DF,21-321,14,9,712,7.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,0.12,0.00,0.00,,,,,,,,,,,,,,,,,,,49,25.6,73,5,5,1,12,0.53,6,23,-17,-2.07,-0.64,0,8,4,0,0,2,6,,,/es/jugadores/0bb6fe40/Burhan-Ersoy
Andrew Gravillon,gpGLP,"DF,CC",27-081,8,8,720,8.0,2,0,2,1,1,1,0,0,0.25,0.00,0.25,0.12,0.12,Partidos,12,5,41.7,1.50,0.62,0.08,0.20,,,,,,,,,,,,,,,,,,90,25.0,90,8,0,,0,0.13,7,20,-13,-1.62,-0.04,0,1,7,0,4,7,2,,,/es/jugadores/49136c42/Andrew-Gravillon
Salih Kavrazlı,trTUR,"CC,DL",23-045,16,8,694,7.7,4,0,4,4,0,0,1,0,0.52,0.00,0.52,0.52,0.52,Partidos,15,12,80.0,1.95,1.56,0.27,0.33,,,,,,,,,,,,,,,,,,43,24.1,63,2,8,24,3,0.13,9,20,-11,-1.43,+0.22,0,9,8,1,15,4,5,,,/es/jugadores/fea893b0/Salih-Kavrazli
Ozan Demirbag,trTUR,"DL,CC",17-077,24,6,659,7.3,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Partidos,16,6,37.5,2.10,0.79,0.06,0.17,,,,,,,,,,,,,,,,,,27,23.8,57,1,18,16,3,0.32,9,29,-20,-2.63,-1.36,0,11,6,2,3,3,10,,,/es/jugadores/16f15013/Ozan-Demirbag
,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,
Osman Kaynak,,"DF,CC",18-350,14,5,476,5.3,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Partidos,2,1,50.0,0.38,0.19,0.00,0.00,,,,,,,,,,,,,,,,,,34,16.5,73,0,9,12,8,0.36,5,11,-6,-1.13,+0.55,0,2,13,1,12,11,9,,,/es/jugadores/02793f7e/Osman-Kaynak
Aksel Aktas,trTUR,"CC,DF",25-289,13,3,343,3.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,0.26,0.00,0.00,,,,,,,,,,,,,,,,,,,25,12.2,58,0,11,16,15,0.36,2,16,-14,-3.60,-2.28,0,12,5,0,7,5,13,,,/es/jugadores/b96951d7/Aksel-Aktas
Murat Eser,,PO,19-330,7,3,332,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,8.0,2.17,23.0,15.0,65.2,0.0,0.0,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,,47,11.5,67,2,4,33,14,0.57,4,8,-4,-1.08,+0.58,0,0,0,0,0,0,0,,,/es/jugadores/412a7187/Murat-Eser
Milad Mohammadi,irIRN,DF,31-213,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,90,6.3,90,2,0,,0,0.00,1,3,-2,-1.00,+0.63,0,2,2,0,6,1,4,,,/es/jugadores/740a0e28/Milad-Mohammadi
Edouard Michut,frFRA,CC,22-057,2,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,2,1,50.0,1.08,0.54,0.00,0.00,,,,,,,,,,,,,,,,,,84,5.8,84,0,0,,0,0.00,0,3,-3,-1.62,-0.02,0,3,13,0,1,2,1,,,/es/jugadores/fe6c1add/Edouard-Michut
José Rodríguez,esESP,"CC,DF",30-135,2,2,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,71,4.9,71,0,0,,0,0.00,0,2,-2,-1.27,+0.34,0,5,0,0,0,3,1,,,/es/jugadores/55e81c76/Jose-Rodriguez
Breyton Fougeu,frFRA,CC,21-114,9,1,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,0.36,0.00,0.00,,,,,,,,,,,,,,,,,,,25,8.7,45,0,9,23,6,0.10,3,10,-7,-2.52,-1.01,0,1,4,0,3,1,4,,,/es/jugadores/7afb6d1f/Breyton-Fougeu
Mootez Nourani,tnTUN,DL,23-078,3,0,66,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,1.36,0.00,0.00,,,,,,,,,,,,,,,,,,,22,2.3,,0,3,22,3,0.00,0,2,-2,-2.73,-1.16,0,1,2,0,1,1,1,,,/es/jugadores/7be10378/Mootez-Nourani
Florent Shehu,chSUI,DL,22-348,5,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,1.84,0.00,0.00,,,,,,,,,,,,,,,,,,,10,1.7,,0,5,10,14,1.40,0,3,-3,-5.51,-3.98,0,3,1,0,1,0,0,,,/es/jugadores/f2601cd1/Florent-Shehu
Yusuf Demirkiran,,DF,19-039,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,9,0.3,,0,1,9,2,0.00,0,0,0,0.00,+1.60,0,0,0,0,0,0,1,,,/es/jugadores/9c87ec6b/Yusuf-Demirkiran
Yücel Gürol,,DF,19-335,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,3,0.1,,0,1,3,8,3.00,0,0,0,0.00,+1.60,0,0,0,0,0,1,1,,,/es/jugadores/561bdd48/Yucel-Gurol
Ahmet Yilmaz,,CC,18-360,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,2,0.1,,0,2,2,10,0.50,0,0,0,0.00,+1.60,0,0,0,0,0,0,0,,,/es/jugadores/9b2de46f/Ahmet-Yilmaz
Ali Arda Yildiz,,DF,18-014,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/1eed3fee/Ali-Arda-Yildiz
Samet Duyur,,DL,15-261,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/ec2ba811/Samet-Duyur
Eren Fidan,,PO,15-212,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/42cf84da/Eren-Fidan
Sefa Gülay,,DL,19-102,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/4840d914/Sefa-Gulay
Kadir Karayigit,,DF,19-181,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,12,,,,,,,,,,,,,,,,/es/jugadores/dc207501/Kadir-Karayigit
Gökdeniz Tunç,,DL,18-266,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/8c8fa12a/Gokdeniz-Tunc
Demir Yavuz,,CC,18-230,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/a294bd5a/Demir-Yavuz
Mustafa Yiğit,,PO,16-307,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/0e8ceedc/Mustafa-Yigit
